,age,decile_score,priors_count,days_in_jail,c_days_from_compas,is_violent_recid,is_recid,Female-African-American,Female-Asian,Female-Caucasian,Female-Hispanic,Female-Native-American,Female-Other,Male-African-American,Male-Asian,Male-Caucasian,Male-Hispanic,Male-Native-American,Male-Other
73,29,6,5,1.0,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
74,27,6,1,14.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
75,40,2,2,3.0,15.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
76,22,3,1,16.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
77,22,8,0,57.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
78,26,4,1,2.0,1.0,1,1,True,False,False,False,False,False,False,False,False,False,False,False
79,27,7,1,19.0,44.0,1,1,False,False,False,False,False,False,False,False,True,False,False,False
80,32,2,0,1.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
81,41,2,1,1.0,5185.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
82,30,10,8,1.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
83,50,1,0,0.0,1.0,0,1,False,False,False,False,False,False,False,False,False,False,False,True
84,25,10,14,7.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
85,20,5,0,1.0,1.0,1,1,False,False,False,False,False,False,False,False,False,False,False,True
86,22,9,2,30.0,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
87,23,7,2,0.0,192.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
88,35,2,1,0.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
89,36,7,9,3.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
90,26,8,7,0.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
91,21,6,1,3.0,1.0,0,1,False,False,False,False,False,False,False,False,False,False,False,True
92,25,8,9,0.0,1.0,1,1,False,False,False,False,False,False,False,False,True,False,False,False
93,71,7,12,0.0,804.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
94,20,7,0,0.0,1.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
95,39,1,2,1.0,3.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
96,66,1,3,30.0,64.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
97,54,1,0,0.0,1.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
98,44,1,0,1.0,2.0,0,0,False,False,False,True,False,False,False,False,False,False,False,False
99,19,4,1,9.0,10.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
100,24,2,1,137.0,137.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
101,30,2,1,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
102,39,1,0,1.0,1.0,1,1,False,False,True,False,False,False,False,False,False,False,False,False
103,24,6,8,12.0,0.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
104,30,4,0,5.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
105,31,5,0,38.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
106,39,4,1,106.0,1.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
107,59,9,14,109.0,265.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
108,43,1,1,1.0,30.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
109,21,9,3,6.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
110,38,4,5,2.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
111,34,5,0,14.0,0.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
112,33,5,5,0.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
113,37,2,3,1.0,0.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
114,42,2,1,0.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
115,41,9,10,176.0,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
116,22,4,0,0.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
117,33,8,28,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
118,31,7,1,1.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
119,30,2,1,1.0,1.0,0,0,False,False,False,False,False,True,False,False,False,False,False,False
120,31,10,13,471.0,0.0,1,1,False,False,False,False,False,False,False,False,True,False,False,False
121,27,9,3,0.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
122,56,9,8,79.0,79.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
123,52,9,3,0.0,2.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
124,33,10,19,0.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
125,64,1,2,1.0,48.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
126,22,6,4,14.0,36.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
127,42,3,6,1.0,5.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
128,25,4,2,3.0,1.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
129,30,2,1,3.0,20.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
130,28,1,2,0.0,161.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
131,37,2,2,1.0,222.0,0,0,False,False,False,False,False,True,False,False,False,False,False,False
132,28,2,0,0.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
133,24,2,0,2.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
134,29,4,10,7.0,1.0,0,1,False,False,True,False,False,False,False,False,False,False,False,False
135,44,2,2,1.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
136,30,5,4,0.0,36.0,1,1,False,False,False,True,False,False,False,False,False,False,False,False
137,32,7,3,8.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
138,31,3,2,15.0,16.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
139,31,2,1,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
140,59,2,1,0.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
141,45,4,4,0.0,375.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
142,20,10,1,2.0,0.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
143,43,1,0,0.0,0.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
144,38,8,9,13.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
145,32,6,11,1.0,2.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
146,33,5,8,0.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
147,31,3,0,1.0,1.0,0,1,True,False,False,False,False,False,False,False,False,False,False,False
148,33,9,7,26.0,1.0,0,1,True,False,False,False,False,False,False,False,False,False,False,False
149,27,9,2,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
150,20,6,0,0.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
151,26,6,0,0.0,2.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
152,61,1,1,0.0,1.0,0,1,True,False,False,False,False,False,False,False,False,False,False,False
153,52,7,13,1.0,1.0,0,1,False,False,False,False,False,False,False,False,False,False,False,True
154,63,1,1,14.0,26.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
155,32,10,4,6.0,7.0,1,1,True,False,False,False,False,False,False,False,False,False,False,False
156,29,4,1,0.0,1.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
157,46,2,1,0.0,72.0,0,0,False,False,False,False,False,True,False,False,False,False,False,False
158,26,4,2,0.0,1.0,0,1,True,False,False,False,False,False,False,False,False,False,False,False
159,55,1,3,1.0,52.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
160,39,4,1,3.0,1672.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
161,30,7,3,530.0,1.0,0,1,False,False,True,False,False,False,False,False,False,False,False,False
162,30,7,1,70.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
163,48,2,2,0.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
164,22,2,1,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
165,46,1,6,22.0,31.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
166,49,6,6,5.0,56.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
167,31,5,0,2.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
168,25,2,1,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
169,23,3,0,0.0,2.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
170,32,7,5,1.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
171,52,1,2,3.0,1.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
172,62,4,8,15.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
173,37,10,6,105.0,111.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
174,55,1,1,18.0,45.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
175,31,9,8,117.0,61.0,0,1,False,False,False,False,False,False,False,False,False,True,False,False
176,28,6,6,0.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
177,54,1,2,188.0,1.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
178,58,2,0,0.0,1.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
179,78,1,1,0.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
180,56,1,0,1.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
181,24,2,0,1.0,1.0,0,0,False,False,False,False,False,False,False,False,False,False,False,True
182,38,8,22,33.0,35.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
183,22,5,1,0.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
184,47,8,23,0.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
185,23,2,0,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
186,57,1,1,19.0,0.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
187,38,5,2,0.0,35.0,0,1,False,False,True,False,False,False,False,False,False,False,False,False
188,66,1,3,2.0,10.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
189,45,4,8,71.0,0.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
190,52,3,0,0.0,1.0,0,1,False,False,False,False,False,True,False,False,False,False,False,False
191,32,10,13,97.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
192,37,9,2,0.0,0.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
193,39,4,0,0.0,0.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
194,26,9,9,79.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
195,45,3,2,358.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
196,23,3,0,0.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
197,34,2,2,25.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
198,23,4,1,0.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
199,36,3,2,2.0,1.0,0,1,False,False,False,False,False,False,False,False,False,False,False,True
200,50,1,1,1.0,4.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
201,37,3,0,0.0,1.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
202,44,4,4,1.0,0.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
203,35,9,23,2.0,1.0,0,1,True,False,False,False,False,False,False,False,False,False,False,False
204,24,5,5,0.0,1.0,0,1,False,False,False,False,False,False,False,False,False,False,False,True
205,26,10,2,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
206,27,2,0,2.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
207,28,8,0,29.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
208,43,5,11,121.0,56.0,1,1,False,False,False,False,False,False,False,False,True,False,False,False
209,28,9,7,1.0,1.0,0,1,False,False,True,False,False,False,False,False,False,False,False,False
210,38,1,2,1.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
211,27,4,2,36.0,36.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
212,28,9,1,38.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
213,56,1,7,0.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
214,38,9,15,1.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
215,28,5,2,0.0,2147.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
216,45,6,3,218.0,23.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
217,28,2,0,0.0,5.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
218,61,1,1,0.0,34.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
219,51,1,0,0.0,1.0,1,1,False,False,True,False,False,False,False,False,False,False,False,False
220,51,2,0,0.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
221,36,1,1,1.0,1.0,0,1,False,False,False,False,False,False,False,False,False,False,False,True
222,48,1,0,1.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
223,37,3,4,1.0,0.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
224,30,7,2,2.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
225,41,6,5,0.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
226,27,10,11,223.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
227,37,1,0,1.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
228,33,4,4,2.0,1.0,0,1,False,False,False,False,False,False,False,False,False,False,False,True
229,54,9,11,129.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
230,23,9,2,71.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
231,26,4,2,226.0,227.0,0,1,True,False,False,False,False,False,False,False,False,False,False,False
232,41,1,0,0.0,0.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
233,52,1,0,0.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
234,43,4,13,51.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
235,52,4,0,13.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
236,28,1,1,3.0,3.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
237,30,9,11,1.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
238,28,5,1,6.0,0.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
239,22,4,0,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
240,30,2,4,1.0,0.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
241,25,4,4,1.0,0.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
242,31,8,0,30.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
243,37,2,0,35.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
244,32,9,14,1.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
245,26,8,4,75.0,1562.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
246,53,1,1,1.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
247,28,8,25,25.0,70.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
248,44,5,8,4.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
249,25,3,0,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
250,22,8,1,5.0,0.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
251,37,1,0,1.0,2.0,0,0,False,False,False,False,False,True,False,False,False,False,False,False
252,40,2,3,1.0,1.0,0,0,False,False,False,False,False,True,False,False,False,False,False,False
253,36,7,8,22.0,0.0,1,1,False,False,False,False,False,False,False,False,True,False,False,False
254,30,2,4,62.0,140.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
255,22,9,3,0.0,208.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
256,24,7,1,29.0,32.0,1,1,False,False,True,False,False,False,False,False,False,False,False,False
257,27,2,3,6.0,46.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
258,31,2,0,0.0,1.0,0,0,False,False,False,True,False,False,False,False,False,False,False,False
259,23,6,1,1.0,1.0,0,1,False,False,False,False,False,False,False,False,False,True,False,False
260,23,5,5,0.0,1.0,0,1,False,False,True,False,False,False,False,False,False,False,False,False
261,24,8,0,0.0,3.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
262,29,3,1,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
263,20,8,1,1.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
264,30,6,2,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
265,39,1,0,0.0,1.0,0,0,False,False,False,False,False,False,False,False,False,False,False,True
266,27,4,4,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
267,31,4,2,10.0,1016.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
268,37,1,2,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
269,20,8,0,2.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
270,22,7,0,2.0,0.0,0,0,False,False,False,False,False,False,False,False,False,True,False,False
271,52,1,0,0.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
272,23,4,0,3.0,1.0,0,1,True,False,False,False,False,False,False,False,False,False,False,False
273,48,2,0,1.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
274,66,6,8,0.0,562.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
275,25,5,0,0.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
276,27,6,0,1.0,1.0,1,1,False,False,False,False,False,False,False,False,True,False,False,False
277,30,7,11,1.0,0.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
278,22,10,3,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
279,22,3,1,0.0,1.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False
280,35,10,2,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
281,32,4,2,40.0,232.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
282,41,3,2,0.0,1.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
283,25,2,0,0.0,1.0,0,0,False,False,False,False,False,True,False,False,False,False,False,False
284,44,7,24,117.0,31.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
285,52,6,3,24.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
286,43,1,0,41.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
287,37,1,3,2.0,4.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
288,28,4,3,2.0,100.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
289,70,1,1,12.0,13.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
290,54,2,6,0.0,322.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
291,46,4,3,14.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
292,21,9,0,1.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
293,26,8,1,1.0,1.0,1,1,False,False,False,False,False,False,True,False,False,False,False,False
294,38,1,3,1.0,82.0,0,1,False,False,False,False,False,False,False,False,False,True,False,False
295,34,4,5,1.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
296,19,5,1,48.0,48.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
297,34,4,5,0.0,1.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
298,23,5,0,0.0,1.0,0,1,False,False,False,False,False,False,False,False,True,False,False,False
299,34,4,5,2.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
300,30,1,2,83.0,83.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False
301,39,3,6,2.0,1.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
302,24,3,0,1.0,1.0,0,0,False,False,False,False,False,False,False,False,False,False,False,True
303,33,3,1,0.0,93.0,1,1,False,False,False,False,False,False,False,False,True,False,False,False
304,58,3,2,1.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
305,21,6,0,0.0,0.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
306,21,5,1,36.0,36.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
307,23,8,4,11.0,11.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
308,62,1,0,1.0,0.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
309,27,8,4,0.0,707.0,0,1,False,False,False,False,False,False,True,False,False,False,False,False
310,37,3,5,10.0,1.0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
