,age,sex,decile_score,priors_count,race,days_in_jail,c_days_from_compas,is_violent_recid,is_recid
40,21,Female,8,2,African-American,79.0,1.0,0,0
41,51,Male,1,2,African-American,1.0,1.0,0,0
42,29,Male,2,2,Caucasian,0.0,1.0,0,1
43,51,Female,2,7,African-American,1.0,1.0,0,0
44,29,Male,7,0,African-American,0.0,0.0,0,1
45,25,Male,10,9,Caucasian,6.0,1.0,1,1
46,35,Male,8,13,African-American,0.0,1.0,1,1
47,49,Male,1,0,Caucasian,0.0,0.0,0,0
48,34,Male,3,4,African-American,51.0,59.0,0,1
49,29,Male,4,0,African-American,0.0,1.0,0,0
50,29,Male,2,1,Caucasian,0.0,24.0,0,1
51,28,Female,2,0,Other,0.0,1.0,0,0
52,48,Male,6,20,Caucasian,10.0,562.0,0,1
53,63,Female,1,1,Hispanic,8.0,219.0,0,0
54,31,Male,5,15,African-American,135.0,1.0,0,1
55,24,Male,4,2,African-American,1.0,1.0,0,1
56,30,Male,7,0,Hispanic,23.0,0.0,0,0
57,49,Male,1,4,African-American,0.0,1.0,0,0
58,53,Male,5,8,Caucasian,13.0,13.0,0,0
59,35,Male,3,5,African-American,0.0,1.0,0,0
60,63,Male,7,10,African-American,35.0,906.0,0,1
61,27,Male,10,15,African-American,1.0,1.0,0,1
62,38,Male,2,4,Caucasian,1.0,1.0,0,1
63,22,Male,4,1,African-American,1.0,1.0,0,1
64,22,Male,10,2,African-American,124.0,114.0,0,1
65,29,Male,9,4,African-American,18.0,1.0,0,1
66,62,Male,1,0,Hispanic,1.0,1.0,0,0
67,27,Male,6,6,African-American,30.0,0.0,0,1
68,33,Male,1,0,Other,1.0,1.0,0,0
69,56,Female,1,0,African-American,3.0,1.0,0,0
70,45,Male,1,6,Hispanic,241.0,1.0,1,1
71,22,Male,4,1,Hispanic,1.0,1.0,0,0
72,39,Male,4,1,African-American,4.0,1.0,0,0
73,29,Male,6,5,African-American,1.0,0.0,0,1
74,27,Male,6,1,Caucasian,14.0,1.0,0,1
75,40,Male,2,2,African-American,3.0,15.0,0,0
76,22,Male,3,1,African-American,16.0,1.0,0,1
77,22,Male,8,0,Caucasian,57.0,1.0,0,0
78,26,Female,4,1,African-American,2.0,1.0,1,1
79,27,Male,7,1,Caucasian,19.0,44.0,1,1
80,32,Male,2,0,African-American,1.0,1.0,0,0
81,41,Male,2,1,African-American,1.0,5185.0,0,0
82,30,Male,10,8,African-American,1.0,1.0,1,1
83,50,Male,1,0,Other,0.0,1.0,0,1
84,25,Male,10,14,African-American,7.0,1.0,1,1
85,20,Male,5,0,Other,1.0,1.0,1,1
86,22,Male,9,2,African-American,30.0,0.0,0,1
87,23,Male,7,2,African-American,0.0,192.0,0,1
88,35,Female,2,1,African-American,0.0,1.0,0,0
89,36,Male,7,9,African-American,3.0,1.0,0,1
90,26,Male,8,7,Caucasian,0.0,1.0,0,1
91,21,Male,6,1,Other,3.0,1.0,0,1
92,25,Male,8,9,Caucasian,0.0,1.0,1,1
93,71,Male,7,12,African-American,0.0,804.0,0,0
94,20,Female,7,0,Caucasian,0.0,1.0,0,0
95,39,Male,1,2,Caucasian,1.0,3.0,0,1
96,66,Male,1,3,Caucasian,30.0,64.0,0,0
97,54,Female,1,0,Caucasian,0.0,1.0,0,0
98,44,Female,1,0,Hispanic,1.0,2.0,0,0
99,19,Male,4,1,African-American,9.0,10.0,1,1
100,24,Male,2,1,African-American,137.0,137.0,0,0
101,30,Male,2,1,African-American,0.0,1.0,0,0
102,39,Female,1,0,Caucasian,1.0,1.0,1,1
103,24,Male,6,8,Caucasian,12.0,0.0,0,1
104,30,Male,4,0,Caucasian,5.0,1.0,0,0
105,31,Male,5,0,Caucasian,38.0,1.0,0,0
106,39,Female,4,1,Caucasian,106.0,1.0,0,0
107,59,Male,9,14,African-American,109.0,265.0,1,1
108,43,Male,1,1,Caucasian,1.0,30.0,0,0
109,21,Male,9,3,African-American,6.0,1.0,0,1
110,38,Male,4,5,Caucasian,2.0,1.0,0,1
111,34,Male,5,0,Caucasian,14.0,0.0,0,0
112,33,Male,5,5,African-American,0.0,1.0,0,1
113,37,Male,2,3,African-American,1.0,0.0,0,0
114,42,Male,2,1,Caucasian,0.0,1.0,0,1
115,41,Male,9,10,African-American,176.0,0.0,0,1
116,22,Male,4,0,African-American,0.0,1.0,0,1
117,33,Male,8,28,African-American,1.0,1.0,0,1
118,31,Male,7,1,African-American,1.0,1.0,0,0
119,30,Female,2,1,Other,1.0,1.0,0,0
120,31,Male,10,13,Caucasian,471.0,0.0,1,1
121,27,Male,9,3,African-American,0.0,1.0,0,1
122,56,Male,9,8,African-American,79.0,79.0,0,0
123,52,Male,9,3,Caucasian,0.0,2.0,0,0
124,33,Male,10,19,African-American,0.0,1.0,0,1
125,64,Female,1,2,Caucasian,1.0,48.0,0,0
126,22,Male,6,4,Caucasian,14.0,36.0,0,1
127,42,Male,3,6,Caucasian,1.0,5.0,0,0
128,25,Female,4,2,Caucasian,3.0,1.0,0,0
129,30,Male,2,1,Caucasian,3.0,20.0,0,0
130,28,Male,1,2,Caucasian,0.0,161.0,0,0
131,37,Female,2,2,Other,1.0,222.0,0,0
132,28,Male,2,0,Caucasian,0.0,1.0,0,1
133,24,Female,2,0,African-American,2.0,1.0,0,0
134,29,Female,4,10,Caucasian,7.0,1.0,0,1
135,44,Male,2,2,Caucasian,1.0,1.0,0,1
136,30,Female,5,4,Hispanic,0.0,36.0,1,1
137,32,Male,7,3,African-American,8.0,1.0,0,1
138,31,Male,3,2,Caucasian,15.0,16.0,0,1
139,31,Male,2,1,African-American,1.0,1.0,0,1
140,59,Male,2,1,Caucasian,0.0,1.0,0,1
141,45,Female,4,4,Caucasian,0.0,375.0,0,0
142,20,Female,10,1,African-American,2.0,0.0,0,0
143,43,Female,1,0,Caucasian,0.0,0.0,0,0
144,38,Male,8,9,African-American,13.0,1.0,0,1
145,32,Male,6,11,African-American,1.0,2.0,1,1
146,33,Male,5,8,African-American,0.0,1.0,1,1
147,31,Female,3,0,African-American,1.0,1.0,0,1
148,33,Female,9,7,African-American,26.0,1.0,0,1
149,27,Male,9,2,African-American,1.0,1.0,0,1
150,20,Female,6,0,African-American,0.0,1.0,0,0
151,26,Female,6,0,Caucasian,0.0,2.0,0,0
152,61,Female,1,1,African-American,0.0,1.0,0,1
153,52,Male,7,13,Other,1.0,1.0,0,1
154,63,Male,1,1,Hispanic,14.0,26.0,0,0
155,32,Female,10,4,African-American,6.0,7.0,1,1
156,29,Male,4,1,Hispanic,0.0,1.0,0,0
157,46,Female,2,1,Other,0.0,72.0,0,0
158,26,Female,4,2,African-American,0.0,1.0,0,1
159,55,Male,1,3,African-American,1.0,52.0,0,0
160,39,Male,4,1,Caucasian,3.0,1672.0,0,0
161,30,Female,7,3,Caucasian,530.0,1.0,0,1
162,30,Male,7,1,African-American,70.0,1.0,0,0
163,48,Male,2,2,Caucasian,0.0,1.0,0,0
164,22,Male,2,1,African-American,0.0,1.0,0,0
165,46,Male,1,6,Caucasian,22.0,31.0,0,1
166,49,Female,6,6,Caucasian,5.0,56.0,0,0
167,31,Male,5,0,Caucasian,2.0,1.0,0,0
168,25,Male,2,1,African-American,1.0,1.0,0,1
169,23,Male,3,0,Hispanic,0.0,2.0,0,0
170,32,Female,7,5,African-American,1.0,1.0,0,0
171,52,Male,1,2,Hispanic,3.0,1.0,0,0
172,62,Male,4,8,African-American,15.0,1.0,0,0
173,37,Female,10,6,Caucasian,105.0,111.0,0,0
174,55,Male,1,1,Caucasian,18.0,45.0,0,0
175,31,Male,9,8,Hispanic,117.0,61.0,0,1
176,28,Male,6,6,African-American,0.0,1.0,1,1
177,54,Male,1,2,Hispanic,188.0,1.0,0,0
178,58,Male,2,0,Hispanic,0.0,1.0,0,0
179,78,Male,1,1,Caucasian,0.0,1.0,0,1
180,56,Male,1,0,Caucasian,1.0,1.0,0,0
181,24,Male,2,0,Other,1.0,1.0,0,0
182,38,Male,8,22,African-American,33.0,35.0,0,1
183,22,Male,5,1,African-American,0.0,1.0,0,1
184,47,Male,8,23,African-American,0.0,1.0,0,1
185,23,Male,2,0,African-American,1.0,1.0,0,1
186,57,Male,1,1,Hispanic,19.0,0.0,0,0
187,38,Female,5,2,Caucasian,0.0,35.0,0,1
188,66,Male,1,3,African-American,2.0,10.0,1,1
189,45,Male,4,8,Caucasian,71.0,0.0,0,1
190,52,Female,3,0,Other,0.0,1.0,0,1
191,32,Male,10,13,African-American,97.0,1.0,0,1
192,37,Male,9,2,African-American,0.0,0.0,1,1
193,39,Male,4,0,Caucasian,0.0,0.0,0,1
194,26,Male,9,9,African-American,79.0,1.0,0,1
195,45,Male,3,2,Caucasian,358.0,1.0,0,0
196,23,Male,3,0,African-American,0.0,1.0,1,1
197,34,Male,2,2,African-American,25.0,1.0,0,1
198,23,Female,4,1,African-American,0.0,1.0,0,0
199,36,Male,3,2,Other,2.0,1.0,0,1
200,50,Male,1,1,Caucasian,1.0,4.0,0,0
201,37,Female,3,0,Caucasian,0.0,1.0,0,0
202,44,Male,4,4,Caucasian,1.0,0.0,0,0
203,35,Female,9,23,African-American,2.0,1.0,0,1
204,24,Male,5,5,Other,0.0,1.0,0,1
205,26,Male,10,2,African-American,1.0,1.0,0,1
206,27,Male,2,0,African-American,2.0,1.0,0,0
207,28,Female,8,0,African-American,29.0,1.0,0,0
208,43,Male,5,11,Caucasian,121.0,56.0,1,1
209,28,Female,9,7,Caucasian,1.0,1.0,0,1
210,38,Male,1,2,African-American,1.0,1.0,0,0
211,27,Male,4,2,Caucasian,36.0,36.0,0,0
212,28,Female,9,1,African-American,38.0,1.0,0,0
213,56,Male,1,7,Caucasian,0.0,1.0,0,1
214,38,Male,9,15,African-American,1.0,1.0,0,0
215,28,Male,5,2,African-American,0.0,2147.0,0,0
216,45,Male,6,3,African-American,218.0,23.0,0,0
217,28,Male,2,0,Hispanic,0.0,5.0,0,0
218,61,Male,1,1,Caucasian,0.0,34.0,0,0
219,51,Female,1,0,Caucasian,0.0,1.0,1,1
220,51,Male,2,0,Caucasian,0.0,1.0,0,0
221,36,Male,1,1,Other,1.0,1.0,0,1
222,48,Male,1,0,African-American,1.0,1.0,0,0
223,37,Male,3,4,Caucasian,1.0,0.0,0,1
224,30,Female,7,2,African-American,2.0,1.0,0,0
225,41,Female,6,5,African-American,0.0,1.0,0,0
226,27,Male,10,11,African-American,223.0,1.0,0,1
227,37,Male,1,0,African-American,1.0,1.0,1,1
228,33,Male,4,4,Other,2.0,1.0,0,1
229,54,Male,9,11,African-American,129.0,1.0,0,0
230,23,Male,9,2,African-American,71.0,1.0,0,0
231,26,Female,4,2,African-American,226.0,227.0,0,1
232,41,Male,1,0,African-American,0.0,0.0,0,0
233,52,Male,1,0,Caucasian,0.0,1.0,0,0
234,43,Male,4,13,Caucasian,51.0,1.0,0,1
235,52,Male,4,0,African-American,13.0,1.0,0,0
236,28,Male,1,1,Caucasian,3.0,3.0,0,0
237,30,Male,9,11,African-American,1.0,1.0,1,1
238,28,Male,5,1,Caucasian,6.0,0.0,0,0
239,22,Male,4,0,African-American,0.0,1.0,0,0
240,30,Male,2,4,African-American,1.0,0.0,0,0
241,25,Male,4,4,Hispanic,1.0,0.0,0,0
242,31,Male,8,0,Caucasian,30.0,1.0,0,1
243,37,Male,2,0,Caucasian,35.0,1.0,0,1
244,32,Male,9,14,African-American,1.0,1.0,0,0
245,26,Male,8,4,African-American,75.0,1562.0,0,0
246,53,Male,1,1,Caucasian,1.0,1.0,0,0
247,28,Male,8,25,African-American,25.0,70.0,0,1
248,44,Male,5,8,Caucasian,4.0,1.0,0,1
249,25,Male,3,0,African-American,0.0,1.0,0,0
250,22,Male,8,1,Caucasian,5.0,0.0,0,1
251,37,Female,1,0,Other,1.0,2.0,0,0
252,40,Female,2,3,Other,1.0,1.0,0,0
253,36,Male,7,8,Caucasian,22.0,0.0,1,1
254,30,Male,2,4,Caucasian,62.0,140.0,0,0
255,22,Male,9,3,African-American,0.0,208.0,1,1
256,24,Female,7,1,Caucasian,29.0,32.0,1,1
257,27,Male,2,3,African-American,6.0,46.0,0,1
258,31,Female,2,0,Hispanic,0.0,1.0,0,0
259,23,Male,6,1,Hispanic,1.0,1.0,0,1
260,23,Female,5,5,Caucasian,0.0,1.0,0,1
261,24,Male,8,0,Hispanic,0.0,3.0,0,0
262,29,Male,3,1,African-American,0.0,1.0,0,0
263,20,Male,8,1,African-American,1.0,1.0,1,1
264,30,Male,6,2,African-American,1.0,1.0,0,1
265,39,Male,1,0,Other,0.0,1.0,0,0
266,27,Male,4,4,African-American,0.0,1.0,0,0
267,31,Male,4,2,Caucasian,10.0,1016.0,0,1
268,37,Female,1,2,African-American,0.0,0.0,0,0
269,20,Male,8,0,African-American,2.0,1.0,0,0
270,22,Male,7,0,Hispanic,2.0,0.0,0,0
271,52,Female,1,0,African-American,0.0,1.0,0,0
272,23,Female,4,0,African-American,3.0,1.0,0,1
273,48,Female,2,0,African-American,1.0,1.0,0,0
274,66,Male,6,8,African-American,0.0,562.0,0,1
275,25,Male,5,0,Caucasian,0.0,1.0,0,0
276,27,Male,6,0,Caucasian,1.0,1.0,1,1
277,30,Male,7,11,African-American,1.0,0.0,0,1
278,22,Male,10,3,African-American,1.0,1.0,0,1
279,22,Female,3,1,Caucasian,0.0,1.0,0,0
280,35,Male,10,2,African-American,0.0,1.0,0,0
281,32,Male,4,2,Caucasian,40.0,232.0,0,0
282,41,Female,3,2,African-American,0.0,1.0,0,0
283,25,Female,2,0,Other,0.0,1.0,0,0
284,44,Male,7,24,African-American,117.0,31.0,0,0
285,52,Male,6,3,African-American,24.0,1.0,0,1
286,43,Male,1,0,African-American,41.0,1.0,0,0
287,37,Male,1,3,Caucasian,2.0,4.0,0,0
288,28,Male,4,3,African-American,2.0,100.0,1,1
289,70,Male,1,1,Caucasian,12.0,13.0,0,0
290,54,Male,2,6,Caucasian,0.0,322.0,0,1
291,46,Male,4,3,Caucasian,14.0,1.0,0,0
292,21,Male,9,0,African-American,1.0,1.0,0,1
293,26,Male,8,1,African-American,1.0,1.0,1,1
294,38,Male,1,3,Hispanic,1.0,82.0,0,1
295,34,Male,4,5,Caucasian,1.0,1.0,0,0
296,19,Male,5,1,African-American,48.0,48.0,0,1
297,34,Male,4,5,African-American,0.0,1.0,0,0
298,23,Male,5,0,Caucasian,0.0,1.0,0,1
299,34,Male,4,5,African-American,2.0,1.0,0,1
300,30,Male,1,2,African-American,83.0,83.0,0,0
301,39,Male,3,6,African-American,2.0,1.0,0,1
302,24,Male,3,0,Other,1.0,1.0,0,0
303,33,Male,3,1,Caucasian,0.0,93.0,1,1
304,58,Male,3,2,Caucasian,1.0,1.0,0,0
305,21,Female,6,0,African-American,0.0,0.0,0,0
306,21,Male,5,1,African-American,36.0,36.0,0,1
307,23,Male,8,4,African-American,11.0,11.0,0,1
308,62,Male,1,0,Caucasian,1.0,0.0,0,0
309,27,Male,8,4,African-American,0.0,707.0,0,1
310,37,Male,3,5,Caucasian,10.0,1.0,0,0
311,43,Male,2,2,Other,7.0,1.0,0,1
312,32,Female,1,5,African-American,1.0,2.0,0,0
313,23,Male,3,0,Hispanic,45.0,1.0,0,0
314,27,Male,1,0,African-American,0.0,1.0,0,0
315,44,Male,1,0,Caucasian,1.0,1.0,0,1
316,28,Male,3,3,Caucasian,0.0,1.0,0,1
317,42,Female,2,0,Caucasian,1.0,3.0,0,0
318,24,Male,10,9,Other,4.0,1.0,1,1
319,27,Male,2,0,African-American,17.0,0.0,0,0
320,20,Male,10,0,African-American,0.0,1.0,0,1
321,51,Female,1,0,Caucasian,1.0,1.0,0,0
322,56,Male,1,0,Caucasian,1.0,1.0,0,0
323,29,Male,9,7,African-American,1.0,1.0,0,0
324,20,Male,9,0,African-American,209.0,1.0,0,1
325,53,Male,1,6,Caucasian,174.0,176.0,0,0
326,27,Male,5,8,Caucasian,68.0,1.0,0,0
327,24,Male,9,2,African-American,19.0,1.0,1,1
328,53,Male,6,36,Caucasian,32.0,7.0,0,1
329,28,Male,3,2,Caucasian,1.0,1.0,1,1
330,45,Male,1,1,African-American,0.0,1.0,0,0
331,21,Male,5,3,Hispanic,22.0,22.0,0,1
332,36,Female,7,0,African-American,12.0,1.0,0,0
333,25,Female,4,2,Caucasian,1.0,2.0,0,1
334,23,Female,3,1,Hispanic,0.0,1.0,0,1
335,28,Male,5,1,Caucasian,1.0,4.0,0,0
336,21,Female,8,0,African-American,1.0,1.0,0,1
337,36,Male,3,0,Caucasian,0.0,1.0,0,0
338,24,Male,3,0,African-American,0.0,1.0,0,0
339,28,Male,6,3,African-American,32.0,862.0,0,1
340,30,Male,2,1,Other,0.0,1.0,0,1
341,29,Male,1,0,African-American,1.0,1.0,0,0
342,30,Female,6,0,Caucasian,3.0,1.0,0,0
343,51,Male,1,1,Hispanic,1.0,2.0,0,0
344,33,Male,1,3,Other,3.0,94.0,0,0
345,25,Female,6,2,African-American,1.0,86.0,0,0
346,32,Male,9,12,African-American,1.0,1.0,1,1
347,23,Male,6,1,African-American,1.0,1.0,0,0
348,47,Male,3,3,African-American,0.0,0.0,0,0
349,32,Female,3,1,Hispanic,2.0,80.0,0,1
350,37,Male,1,0,Caucasian,19.0,0.0,0,0
351,19,Male,10,2,African-American,1.0,1.0,0,1
352,27,Male,8,0,Hispanic,2.0,1.0,0,0
353,39,Male,1,0,Other,0.0,1.0,0,0
354,21,Female,6,0,Caucasian,0.0,0.0,0,0
355,69,Male,1,0,Caucasian,0.0,1.0,0,0
356,21,Male,6,2,Caucasian,2.0,1.0,0,0
357,26,Male,10,6,African-American,3.0,0.0,0,1
358,22,Male,4,0,Caucasian,0.0,3.0,0,0
359,23,Female,5,0,African-American,0.0,1.0,0,1
360,49,Male,5,3,African-American,3.0,1.0,0,0
361,29,Male,4,2,African-American,50.0,1.0,0,1
362,60,Female,1,0,Caucasian,0.0,1.0,0,0
363,26,Female,10,0,African-American,0.0,1.0,0,0
364,23,Male,10,3,African-American,0.0,1.0,0,1
365,34,Male,5,2,Hispanic,207.0,271.0,1,1
366,20,Female,4,1,Other,2.0,21.0,0,0
367,36,Male,3,1,Hispanic,95.0,1.0,0,0
368,30,Male,4,0,Caucasian,1.0,1.0,0,0
369,21,Male,3,1,African-American,1.0,2.0,0,1
370,22,Male,6,2,Caucasian,0.0,1.0,0,1
371,57,Male,8,18,African-American,0.0,1834.0,0,0
372,21,Male,9,4,African-American,219.0,0.0,0,1
373,21,Male,5,0,African-American,12.0,1.0,0,1
374,34,Male,1,1,Caucasian,0.0,0.0,0,0
375,50,Female,1,1,Caucasian,0.0,1.0,0,1
376,40,Male,7,0,Caucasian,8.0,1.0,0,1
377,25,Male,8,7,African-American,127.0,1.0,0,1
378,53,Female,1,1,Caucasian,0.0,1.0,0,0
379,24,Female,4,0,African-American,1.0,1.0,0,0
380,42,Male,1,1,African-American,4.0,13.0,0,0
381,28,Male,3,1,African-American,1.0,1.0,0,0
382,24,Male,4,1,Caucasian,36.0,37.0,0,0
383,26,Male,8,6,African-American,1.0,1.0,0,1
384,22,Male,9,4,African-American,260.0,1.0,1,1
385,21,Male,7,3,Caucasian,5.0,8.0,0,0
386,37,Male,9,23,African-American,17.0,1.0,0,1
387,35,Male,5,2,African-American,5.0,1.0,0,0
388,53,Male,1,2,African-American,0.0,1.0,0,0
389,60,Male,1,1,African-American,0.0,1183.0,0,0
390,29,Male,4,7,African-American,1.0,1.0,0,1
391,48,Male,8,23,Caucasian,360.0,1.0,1,1
392,52,Female,1,0,Caucasian,0.0,1.0,0,0
393,27,Male,8,12,African-American,31.0,1.0,0,1
394,28,Male,9,5,African-American,51.0,0.0,0,1
395,33,Male,3,3,Caucasian,0.0,1.0,0,0
396,28,Female,2,0,Hispanic,2.0,1.0,0,0
397,47,Male,10,5,Caucasian,291.0,312.0,0,1
398,36,Male,7,14,African-American,0.0,1.0,0,1
399,29,Male,5,2,African-American,1.0,1.0,0,0
400,22,Male,9,0,African-American,21.0,0.0,0,1
401,26,Male,7,6,African-American,0.0,35.0,0,0
402,25,Male,2,0,Caucasian,0.0,1.0,0,0
403,68,Male,1,2,Caucasian,0.0,150.0,0,0
404,56,Male,3,5,African-American,12.0,1.0,0,0
405,27,Male,8,9,African-American,52.0,1.0,1,1
406,52,Male,1,4,Caucasian,7.0,1.0,0,1
407,32,Male,2,3,African-American,1.0,1.0,0,0
408,60,Male,1,4,Other,1.0,1.0,0,0
409,23,Male,3,1,Hispanic,5.0,5.0,0,0
410,39,Female,6,0,Caucasian,0.0,2.0,0,0
411,56,Male,1,0,Caucasian,0.0,1.0,0,0
412,22,Female,7,0,African-American,0.0,1.0,0,0
413,27,Female,2,1,African-American,0.0,31.0,0,1
414,53,Male,6,11,African-American,110.0,1.0,0,0
415,25,Male,2,0,Caucasian,0.0,0.0,0,1
416,21,Male,3,0,Hispanic,0.0,0.0,0,0
417,22,Male,3,0,Caucasian,1.0,1.0,0,0
418,58,Female,1,2,Caucasian,1.0,23.0,0,0
419,31,Male,3,7,African-American,1.0,1.0,0,1
420,22,Male,5,1,Caucasian,0.0,1.0,0,1
421,28,Male,6,8,African-American,3.0,1.0,0,1
422,42,Male,1,1,Other,2.0,1.0,0,0
423,20,Male,7,0,African-American,0.0,0.0,0,1
424,29,Male,6,0,Caucasian,5.0,0.0,1,1
425,29,Male,10,8,African-American,87.0,614.0,0,0
426,58,Male,7,21,African-American,59.0,2.0,0,1
427,22,Male,7,3,African-American,106.0,1.0,0,0
428,48,Male,1,1,Hispanic,0.0,0.0,0,1
429,37,Male,4,0,Caucasian,0.0,0.0,0,0
430,57,Male,5,1,African-American,25.0,1.0,0,1
431,27,Male,1,3,Caucasian,1.0,22.0,0,0
432,26,Male,4,3,African-American,33.0,0.0,0,0
433,24,Male,8,3,Caucasian,0.0,0.0,0,1
434,33,Male,1,0,Caucasian,1.0,1.0,0,0
435,29,Male,6,2,African-American,0.0,1.0,0,0
436,24,Female,10,3,African-American,1.0,1.0,0,1
437,19,Male,10,1,Caucasian,32.0,1.0,0,1
438,36,Male,1,2,Caucasian,0.0,1.0,0,0
439,24,Female,5,0,Caucasian,0.0,1.0,0,0
440,34,Male,1,0,Caucasian,0.0,0.0,0,0
441,25,Male,5,2,Hispanic,0.0,1.0,1,1
442,20,Male,10,1,African-American,1.0,1.0,0,1
443,28,Male,5,2,Hispanic,1.0,263.0,1,1
444,24,Male,2,1,African-American,1.0,1.0,1,1
445,61,Male,1,4,Caucasian,1.0,1.0,0,0
446,50,Female,2,3,African-American,1.0,1.0,0,0
447,30,Male,1,1,African-American,4.0,1.0,0,0
448,38,Male,3,5,African-American,1.0,1.0,0,0
449,24,Male,1,0,Caucasian,0.0,1.0,0,0
450,45,Male,2,16,African-American,64.0,77.0,0,0
451,46,Female,10,2,African-American,9.0,1.0,0,1
452,41,Male,1,0,Caucasian,3.0,1.0,0,1
453,20,Male,8,0,Other,22.0,1.0,1,1
454,27,Male,8,13,African-American,1.0,1.0,1,1
455,51,Female,8,16,African-American,66.0,122.0,0,0
456,26,Male,6,1,African-American,13.0,1.0,0,1
457,29,Male,5,3,African-American,1.0,0.0,0,1
458,52,Male,5,6,Caucasian,1.0,1.0,0,1
459,28,Male,4,1,Caucasian,4.0,1.0,1,1
460,34,Female,7,4,Native American,97.0,152.0,0,1
461,55,Male,3,5,African-American,118.0,1.0,0,1
462,26,Male,9,10,African-American,0.0,1.0,1,1
463,28,Male,10,5,African-American,1.0,1.0,0,0
464,63,Male,1,2,Caucasian,3.0,3.0,0,0
465,42,Male,1,0,African-American,1.0,0.0,0,0
466,23,Male,6,6,African-American,0.0,1.0,1,1
467,54,Male,9,28,African-American,5.0,1.0,0,1
468,35,Male,7,8,African-American,10.0,1.0,0,1
469,24,Female,9,6,African-American,26.0,1.0,0,1
470,54,Male,1,2,African-American,0.0,26.0,0,0
471,58,Male,6,12,African-American,3.0,1.0,0,1
472,23,Male,5,1,Caucasian,0.0,1.0,0,1
473,35,Male,2,1,African-American,0.0,1.0,0,0
474,20,Male,10,1,African-American,2.0,0.0,1,1
475,51,Male,1,0,Caucasian,35.0,0.0,0,0
476,24,Male,10,0,Hispanic,1.0,1.0,0,0
477,37,Male,2,3,Caucasian,6.0,14.0,0,0
478,47,Male,1,3,Caucasian,0.0,1.0,0,0
479,34,Male,6,4,Caucasian,1.0,1.0,0,1
480,56,Male,1,0,Caucasian,0.0,2.0,0,0
481,34,Male,1,4,Hispanic,31.0,1.0,0,1
482,59,Male,1,1,Caucasian,0.0,3.0,0,1
483,35,Male,6,0,Asian,101.0,1.0,0,0
484,58,Male,1,1,Hispanic,10.0,11.0,0,0
485,29,Male,4,2,Hispanic,0.0,26.0,0,0
486,24,Female,9,6,Caucasian,3.0,1.0,1,1
487,21,Male,9,2,Caucasian,8.0,1.0,1,1
488,26,Male,9,2,African-American,0.0,16.0,0,0
489,50,Male,7,5,Asian,11.0,0.0,0,1
490,26,Male,2,1,African-American,1.0,1.0,0,0
491,30,Female,2,0,Caucasian,1.0,1.0,0,0
492,29,Male,9,6,Caucasian,18.0,43.0,0,1
493,29,Male,4,0,Caucasian,1.0,1.0,1,1
494,54,Male,1,0,African-American,1.0,1.0,0,0
495,29,Male,4,4,African-American,8.0,1.0,1,1
496,59,Female,1,0,Caucasian,0.0,2.0,0,0
497,38,Male,5,0,African-American,1.0,1.0,0,0
498,22,Female,5,2,Hispanic,18.0,100.0,0,1
